publication_title,plant_family,plant_genus,plant_species,plant_growth_form,plant_life_history,plant_geographic_source,insect_order,insect_family,insect_genus,insect_species,insect_sex,poly_or_mono,insect_geographic_source,insect_life_stage,study_design,paper_source,plant_status,insect_status,biocontrol_study,study_type,notes,plant_genus_species,insect_genus_species,response_measure,plant_organ_afflicted,response_type_or_metric,response_units,response_measure,error_type,response_c,error_c,n_c,response_t,error_t,n_t,hedges_d,var_hedges_d
pre-release impact assessment of two stem-boring weevils proposed as biological control agents for alliaria petiolata?,brassicaceae,alliaria,petiolata,forb,bi-annual,much of europe and western asia,coleoptera,curculionidae,ceutorhynchus,alliariae,both,monophagous,central europe,both,cage,figure 2,native,native,no,a,2 pairs,alliaria_petiolata,ceutorhynchus_alliariae,number of,flower,count,count,x,sd,81.528,21.16912497,12,88.472,33.6779959,12,0.238360859,0.167850331
pre-release impact assessment of two stem-boring weevils proposed as biological control agents for alliaria petiolata?,brassicaceae,alliaria,petiolata,forb,bi-annual,much of europe and western asia,coleoptera,curculionidae,ceutorhynchus,alliariae,both,monophagous,central europe,both,cage,figure 2,native,native,no,a,2 pairs,alliaria_petiolata,ceutorhynchus_alliariae,biomass,whole organism,mass,g,x,sd,31.955,5.417854926,12,33.296,6.193813688,12,0.222513632,0.167698173
pre-release impact assessment of two stem-boring weevils proposed as biological control agents for alliaria petiolata?,brassicaceae,alliaria,petiolata,forb,bi-annual,much of europe and western asia,coleoptera,curculionidae,ceutorhynchus,roberti,both,monophagous,central europe,both,cage,figure 2,native,native,no,a,2 pairs,alliaria_petiolata,ceutorhynchus_roberti,length,stem,length,m,x,sd,0.57486,0.067723187,12,0.55531,0.108357099,12,-0.208910087,0.167575905
pre-release impact assessment of two stem-boring weevils proposed as biological control agents for alliaria petiolata?,brassicaceae,alliaria,petiolata,forb,bi-annual,much of europe and western asia,coleoptera,curculionidae,ceutorhynchus,roberti,both,monophagous,central europe,both,cage,figure 2,native,native,no,a,2 pairs,alliaria_petiolata,ceutorhynchus_roberti,biomass,whole organism,mass,g,x,sd,31.955,5.417854926,12,31.396,8.518225872,12,-0.075608628,0.166785764
growth and nutritional response of pinus pinaster after a large pine weevil (hylobius abietis) attack,pinaceae,pinus,pinaster,tree,perennial,mediterranian,coleoptera,curculionidae,hylobius,abietis,unclear,polyphagous,europe,unclear,natural field study/survey,fig 1,native,native,no,a,5 years,pinus_pinaster,hylobius_abietis,length,stem,length,m,x,sd,3.44661,0.96596697,275,3.59224,0.96596697,275,0.150554421,0.007293333
growth and nutritional response of pinus pinaster after a large pine weevil (hylobius abietis) attack,pinaceae,pinus,pinaster,tree,perennial,mediterranian,coleoptera,curculionidae,hylobius,abietis,unclear,polyphagous,europe,unclear,natural field study/survey,fig 1,native,native,no,a,5 years,pinus_pinaster,hylobius_abietis,diameter,stem,diameter,m,x,sd,0.96812,0.192198407,275,0.94493,0.240455297,275,-0.106392375,0.007283018
use of a native insect as a biological control for an introduced weed,haloragaceae,myriophyllum,spicatum,forb,perennial,"europe, asia, north africa",coleoptera,curculionidae,euhrychiopsis,lecontei,unclear,polyphagous,eastern and central united states and western canada,adult,cage,figure 1,invasive,native,yes,c,2 locations,myriophyllum_spicatum,euhrychiopsis_lecontei,biomass,whole organism,mass,g,x,sd,17.704,1.702605944,3,9.414,1.702605944,3,-3.895205478,1.931052143
"effects of a potential biocontrol agent, euhrychiopsis zecontei, on eurasian waterxnilfoil in experimental tanks",haloragaceae ,myriophyllum,spicatum,forb,,"europe, asia, and north africa",coleoptera,curculionidae,euhrychiopsis ,lecontei,unclear,,eastern and central united states and western canada,unclear,cage,figure 5,invasive,native,no,c,12 weevils,myriophyllum_spicatum,euhrychiopsis _lecontei,biomass,whole organism,mass,g,x,sd,2.402,1.759,4,19.598,5.697,4,3.546708235,1.286196206
use of a native insect as a biological control for an introduced weed,haloragaceae,myriophyllum,spicatum,forb,perennial,"europe, asia, north africa",coleoptera,curculionidae,euhrychiopsis,lecontei,unclear,polyphagous,eastern and central united states and western canada,adult,cage,figure 1,invasive,native,yes,c,2 locations,myriophyllum_spicatum,euhrychiopsis_lecontei,biomass,whole organism,mass,g,x,sd,24.448,5.109549882,3,11.521,4.380356492,3,-2.17308889,1.060192943
"effects of a potential biocontrol agent, euhrychiopsis zecontei, on eurasian waterxnilfoil in experimental tanks",haloragaceae ,myriophyllum,spicatum,forb,,"europe, asia, and north africa",coleoptera,curculionidae,euhrychiopsis ,lecontei,unclear,,eastern and central united states and western canada,unclear,cage,figure 5,invasive,native,no,c,0 weevils,myriophyllum_spicatum,euhrychiopsis _lecontei,biomass,whole organism,mass,g,x,sd,2.402,1.759,4,10.308,2.991,4,2.801933362,0.99067691
"effects of a potential biocontrol agent, euhrychiopsis zecontei, on eurasian waterxnilfoil in experimental tanks",haloragaceae ,myriophyllum,spicatum,forb,,"europe, asia, and north africa",coleoptera,curculionidae,euhrychiopsis ,lecontei,unclear,,eastern and central united states and western canada,unclear,cage,figure 5,invasive,native,no,c,12 weevils,myriophyllum_spicatum,euhrychiopsis _lecontei,biomass,stem,mass,g,x,sd,33.566,8.593,4,13.228,5.312,4,-2.475734202,0.88307874
"effects of a potential biocontrol agent, euhrychiopsis zecontei, on eurasian waterxnilfoil in experimental tanks",haloragaceae ,myriophyllum,spicatum,forb,,"europe, asia, and north africa",coleoptera,curculionidae,euhrychiopsis ,lecontei,unclear,,eastern and central united states and western canada,unclear,cage,figure 5,invasive,native,no,c,6 weevils,myriophyllum_spicatum,euhrychiopsis _lecontei,biomass,whole organism,mass,g,x,sd,2.402,1.759,4,15.871,7.151,4,2.249205706,0.816182894
"effects of a potential biocontrol agent, euhrychiopsis zecontei, on eurasian waterxnilfoil in experimental tanks",haloragaceae ,myriophyllum,spicatum,forb,,"europe, asia, and north africa",coleoptera,curculionidae,euhrychiopsis ,lecontei,unclear,,eastern and central united states and western canada,unclear,cage,figure 7,invasive,native,no,c,week 4-12 weevils,myriophyllum_spicatum,euhrychiopsis _lecontei,biomass,stem,mass,g,x,sd,0.514,0.138,4,0.193,0.131,4,-2.074616912,0.769002208
"effects of a potential biocontrol agent, euhrychiopsis zecontei, on eurasian waterxnilfoil in experimental tanks",haloragaceae ,myriophyllum,spicatum,forb,,"europe, asia, and north africa",coleoptera,curculionidae,euhrychiopsis ,lecontei,unclear,,eastern and central united states and western canada,unclear,cage,figure 5,invasive,native,no,c,6 weevils,myriophyllum_spicatum,euhrychiopsis _lecontei,biomass,roots,mass,g,x,sd,10.183,1.385,4,6.576,1.987,4,-1.831376706,0.70962129
"effects of a potential biocontrol agent, euhrychiopsis zecontei, on eurasian waterxnilfoil in experimental tanks",haloragaceae ,myriophyllum,spicatum,forb,,"europe, asia, and north africa",coleoptera,curculionidae,euhrychiopsis ,lecontei,unclear,,eastern and central united states and western canada,unclear,cage,figure 5,invasive,native,no,c,12 weevils,myriophyllum_spicatum,euhrychiopsis _lecontei,biomass,whole organism,mass,g,x,sd,0.148,0.189,4,2.583,1.64,4,1.813874735,0.705633847
"effects of a potential biocontrol agent, euhrychiopsis zecontei, on eurasian waterxnilfoil in experimental tanks",haloragaceae ,myriophyllum,spicatum,forb,,"europe, asia, and north africa",coleoptera,curculionidae,euhrychiopsis ,lecontei,unclear,,eastern and central united states and western canada,unclear,cage,figure 7,invasive,native,no,c,week 4-12 weevils,myriophyllum_spicatum,euhrychiopsis _lecontei,biomass,roots,mass,g,x,sd,0.112,0.04,4,0.05,0.021,4,-1.687669278,0.678014224
"effects of a potential biocontrol agent, euhrychiopsis zecontei, on eurasian waterxnilfoil in experimental tanks",haloragaceae ,myriophyllum,spicatum,forb,,"europe, asia, and north africa",coleoptera,curculionidae,euhrychiopsis ,lecontei,unclear,,eastern and central united states and western canada,unclear,cage,figure 5,invasive,native,no,c,6 weevils,myriophyllum_spicatum,euhrychiopsis _lecontei,biomass,stem,mass,g,x,sd,33.566,8.593,4,17.334,8.571,4,-1.644694828,0.669063817
"effects of a potential biocontrol agent, euhrychiopsis zecontei, on eurasian waterxnilfoil in experimental tanks",haloragaceae ,myriophyllum,spicatum,forb,,"europe, asia, and north africa",coleoptera,curculionidae,euhrychiopsis ,lecontei,unclear,,eastern and central united states and western canada,unclear,cage,figure 7,invasive,native,no,c,week 4-6 weevils,myriophyllum_spicatum,euhrychiopsis _lecontei,biomass,roots,mass,g,x,sd,0.112,0.04,4,0.055,0.016,4,-1.627057972,0.665457353
"effects of a potential biocontrol agent, euhrychiopsis zecontei, on eurasian waterxnilfoil in experimental tanks",haloragaceae ,myriophyllum,spicatum,forb,,"europe, asia, and north africa",coleoptera,curculionidae,euhrychiopsis ,lecontei,unclear,,eastern and central united states and western canada,unclear,cage,figure 5,invasive,native,no,c,12 weevils,myriophyllum_spicatum,euhrychiopsis _lecontei,biomass,roots,mass,g,x,sd,10.183,1.385,4,5.485,3.341,4,-1.597415513,0.65948352
"effects of a potential biocontrol agent, euhrychiopsis zecontei, on eurasian waterxnilfoil in experimental tanks",haloragaceae ,myriophyllum,spicatum,forb,,"europe, asia, and north africa",coleoptera,curculionidae,euhrychiopsis ,lecontei,unclear,,eastern and central united states and western canada,unclear,cage,figure 5,invasive,native,no,c,0 weevils,myriophyllum_spicatum,euhrychiopsis _lecontei,biomass,whole organism,mass,g,x,sd,0.148,0.189,4,1.513,1.105,4,1.497359399,0.640130323
"effects of a potential biocontrol agent, euhrychiopsis zecontei, on eurasian waterxnilfoil in experimental tanks",haloragaceae ,myriophyllum,spicatum,forb,,"europe, asia, and north africa",coleoptera,curculionidae,euhrychiopsis ,lecontei,unclear,,eastern and central united states and western canada,unclear,cage,figure 5,invasive,native,no,c,6 weevils,myriophyllum_spicatum,euhrychiopsis _lecontei,biomass,whole organism,mass,g,x,sd,0.148,0.189,4,3.019,2.381,4,1.478178962,0.636563315
"effects of a potential biocontrol agent, euhrychiopsis zecontei, on eurasian waterxnilfoil in experimental tanks",haloragaceae ,myriophyllum,spicatum,forb,,"europe, asia, and north africa",coleoptera,curculionidae,euhrychiopsis ,lecontei,unclear,,eastern and central united states and western canada,unclear,cage,figure 7,invasive,native,no,c,week 4-6 weevils,myriophyllum_spicatum,euhrychiopsis _lecontei,biomass,stem,mass,g,x,sd,0.514,0.138,4,0.328,0.156,4,-1.098209833,0.575379052
"effects of a potential biocontrol agent, euhrychiopsis zecontei, on eurasian waterxnilfoil in experimental tanks",haloragaceae ,myriophyllum,spicatum,forb,,"europe, asia, and north africa",coleoptera,curculionidae,euhrychiopsis ,lecontei,unclear,,eastern and central united states and western canada,unclear,cage,figure 7,invasive,native,no,c,week 4-0 weevils,myriophyllum_spicatum,euhrychiopsis _lecontei,biomass,stem,mass,g,x,sd,0.514,0.138,4,0.377,0.153,4,-0.817680295,0.541787567
"effects of a potential biocontrol agent, euhrychiopsis zecontei, on eurasian waterxnilfoil in experimental tanks",haloragaceae ,myriophyllum,spicatum,forb,,"europe, asia, and north africa",coleoptera,curculionidae,euhrychiopsis ,lecontei,unclear,,eastern and central united states and western canada,unclear,cage,figure 5,invasive,native,no,c,0 weevils,myriophyllum_spicatum,euhrychiopsis _lecontei,biomass,stem,mass,g,x,sd,33.566,8.593,4,27.386,5.799,4,-0.733104606,0.533590148
"effects of a potential biocontrol agent, euhrychiopsis zecontei, on eurasian waterxnilfoil in experimental tanks",haloragaceae ,myriophyllum,spicatum,forb,,"europe, asia, and north africa",coleoptera,curculionidae,euhrychiopsis ,lecontei,unclear,,eastern and central united states and western canada,unclear,cage,figure 7,invasive,native,no,c,week 4-0 weevils,myriophyllum_spicatum,euhrychiopsis _lecontei,biomass,roots,mass,g,x,sd,0.112,0.04,4,0.099,0.027,4,-0.331265162,0.506858538
"effects of a potential biocontrol agent, euhrychiopsis zecontei, on eurasian waterxnilfoil in experimental tanks",haloragaceae ,myriophyllum,spicatum,forb,,"europe, asia, and north africa",coleoptera,curculionidae,euhrychiopsis ,lecontei,unclear,,eastern and central united states and western canada,unclear,cage,figure 5,invasive,native,no,c,0 weevils,myriophyllum_spicatum,euhrychiopsis _lecontei,biomass,roots,mass,g,x,sd,10.183,1.385,4,10.8,2.994,4,0.2300079,0.503306477
"effects of a potential biocontrol agent, euhrychiopsis zecontei, on eurasian waterxnilfoil in experimental tanks",haloragaceae ,myriophyllum,spicatum,forb,,"europe, asia, and north africa",coleoptera,curculionidae,euhrychiopsis ,lecontei,unclear,,eastern and central united states and western canada,unclear,cage,figure 6,invasive,native,yes,d,week 4-12 weevils,myriophyllum_spicatum,euhrychiopsis _lecontei,length,whole organism,length,m,x,sd,48.31933,3.57799,4,18.63839,4.45772,4,-6.385551928,3.048454589
"effects of a potential biocontrol agent, euhrychiopsis zecontei, on eurasian waterxnilfoil in experimental tanks",haloragaceae ,myriophyllum,spicatum,forb,,"europe, asia, and north africa",coleoptera,curculionidae,euhrychiopsis ,lecontei,unclear,,eastern and central united states and western canada,unclear,cage,figure 2,invasive,native,yes,d,week 4- 12 weevils,myriophyllum_spicatum,euhrychiopsis _lecontei,length,whole organism,length,m,x,sd,0.62837,0.02299,4,0.25377,0.07692,4,-5.738069954,2.557840425
"effects of a potential biocontrol agent, euhrychiopsis zecontei, on eurasian waterxnilfoil in experimental tanks",haloragaceae ,myriophyllum,spicatum,forb,,"europe, asia, and north africa",coleoptera,curculionidae,euhrychiopsis ,lecontei,unclear,,eastern and central united states and western canada,unclear,cage,figure 2,invasive,native,yes,d,week 4- 0 weevils,myriophyllum_spicatum,euhrychiopsis _lecontei,length,whole organism,length,m,x,sd,0.62837,0.02299,4,0.42813,0.06674,4,-3.488451375,1.260580812
"effects of a potential biocontrol agent, euhrychiopsis zecontei, on eurasian waterxnilfoil in experimental tanks",haloragaceae ,myriophyllum,spicatum,forb,,"europe, asia, and north africa",coleoptera,curculionidae,euhrychiopsis ,lecontei,unclear,,eastern and central united states and western canada,unclear,cage,figure 2,invasive,native,yes,d,week 4- 6 weevils,myriophyllum_spicatum,euhrychiopsis _lecontei,length,whole organism,length,m,x,sd,0.62837,0.02299,4,0.33854,0.09984,4,-3.478859426,1.256403932
"effects of a potential biocontrol agent, euhrychiopsis zecontei, on eurasian waterxnilfoil in experimental tanks",haloragaceae ,myriophyllum,spicatum,forb,,"europe, asia, and north africa",coleoptera,curculionidae,euhrychiopsis ,lecontei,unclear,,eastern and central united states and western canada,unclear,cage,figure 6,invasive,native,yes,d,week 4-6 weevils,myriophyllum_spicatum,euhrychiopsis _lecontei,length,whole organism,length,m,x,sd,48.31933,3.57799,4,24.60609,7.74685,4,-3.417397896,1.229913024
natural enemy density and soil type influence growth and survival of melaleuca quinquenervia seedlings,myrtaceae ,melaleuca,quinquenervia,tree,perennial," the plant is native to new caledonia, papua new guinea and coastal eastern australia, from botany bay in new south wales northwards, into queensland and the northern territory.",coleoptera,curculionidae,oxyops,vitiosa,unclear,monophagous,australia,larval,cage,figure 4,introduced,introduced,yes,d,3 larva,melaleuca_quinquenervia,oxyops_vitiosa,number of,leaves,count,count,x,sd,31.222,2.701170117,5,18.778,2.855458807,5,-4.043966859,1.217683398
